nominal_structure_id,nominal_core_width_nm,nominal_coupling_gap_nm,nominal_ring_radius_um,nominal_core_thickness_nm,nominal_slab_thickness_nm,nominal_device_layer_thickness_nm,dataset_role,frozen_confirmation,sampling_method,sampling_seed,split,wafer_id
ring_cv_dev_20260912_0058,462.3238097081603,396.36798874062345,9.951111469123502,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0059,451.46891981018825,402.1343586306989,10.071664364871136,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01
ring_cv_dev_20260912_0060,456.85341411132976,355.0365346425016,10.077269039793734,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0061,441.5408508891013,394.005548248341,10.045784223999952,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_03
ring_cv_dev_20260912_0062,446.2186751693093,423.11359446632815,10.198029196512394,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_05
ring_cv_dev_20260912_0063,442.1627227755758,435.4187345421734,10.123989081293075,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0064,431.3334527981682,424.4386653564227,10.08743898815535,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0065,452.78774632446806,371.67463350970496,10.16262082518145,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_03
ring_cv_dev_20260912_0066,463.0173453258036,366.46914917038674,10.041523592592169,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_03
ring_cv_dev_20260912_0067,451.1327223571712,414.5558819829028,9.899848782900555,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_03
ring_cv_dev_20260912_0068,456.3196418293348,435.6331576871326,9.970621669465835,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_07
ring_cv_dev_20260912_0069,431.084335768208,364.0282990834856,10.068858283149044,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0070,450.6160774836428,429.2861059998877,9.975168048497164,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_02
ring_cv_dev_20260912_0071,432.77280143974826,353.11490403483765,9.835117021960476,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01
ring_cv_dev_20260912_0072,437.0848438825021,427.8335904986228,9.974313329984833,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0073,444.474681083192,446.0878089625264,10.030198998564064,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01
ring_cv_dev_20260912_0074,430.21994355376455,398.30716337583937,10.114494392485256,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_05
ring_cv_dev_20260912_0075,463.5564668284008,420.1967242326504,10.068202301463646,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_01
ring_cv_dev_20260912_0076,445.3364070785223,397.7394641596012,10.157543661896936,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0077,438.4454278593667,360.3518893912748,10.060210035184165,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0078,442.2817396503619,354.7705098841122,10.09198402044908,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_00
ring_cv_dev_20260912_0079,467.74146837310127,427.1709813051442,9.81368187847804,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0080,440.7355717174816,402.8684461131706,9.936352081553634,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0081,448.0009067525249,375.79187861836897,9.873083608965995,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_07
ring_cv_dev_20260912_0082,461.50546721419886,433.3795615207847,10.112474417592578,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0083,441.42848588228304,443.0349483789064,9.96317435411487,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_02
ring_cv_dev_20260912_0084,455.9280874400211,443.610346043661,9.839278802394327,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01
ring_cv_dev_20260912_0085,435.3221192317232,434.0662982098584,10.162439938826113,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_05
ring_cv_dev_20260912_0086,449.6417189803566,375.6006034675957,9.998468384337327,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_07
ring_cv_dev_20260912_0087,469.600961662047,393.1316915096189,10.18353334241461,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_00
ring_cv_dev_20260912_0088,440.7948056690315,366.0943313881716,10.179390552230442,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_00
ring_cv_dev_20260912_0089,434.0016476993195,420.87033326001256,9.80703124845238,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0090,467.9964079959968,448.9635682671061,9.932935569379987,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01
ring_cv_dev_20260912_0091,442.0411826790793,442.4349080472483,10.078453027630534,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0092,460.59851625620286,379.9087640364712,9.92686614096881,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0093,467.3095553666612,420.6053678444244,9.829853286646795,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_02
ring_cv_dev_20260912_0094,454.99759071800247,416.5584542876657,10.064962622429157,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_05
ring_cv_dev_20260912_0095,430.8341720695578,408.86359881653385,10.1335824250186,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01
ring_cv_dev_20260912_0096,453.7615302970794,388.2700296084278,9.906391150301504,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0097,439.3418249284019,433.0589413585613,10.006711089680058,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0098,454.6547178257681,383.2063979032855,10.014273295725406,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_02
ring_cv_dev_20260912_0099,467.7776761869846,415.5915035331009,9.95763884119898,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_05
ring_cv_dev_20260912_0100,452.3785600386644,447.687602467808,10.190081461112118,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_02
ring_cv_dev_20260912_0101,462.15849758250016,359.0280587671677,9.921886616902764,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0102,469.80645852722967,375.046560044416,9.989884582077826,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_06
ring_cv_dev_20260912_0103,462.984445995958,404.1525353529935,10.103302622676749,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_00
ring_cv_dev_20260912_0104,440.9251754536848,374.4805623137745,10.175016055750516,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0105,464.4143834602067,364.1466722641232,10.140457451064648,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_00
ring_cv_dev_20260912_0106,464.9216251339682,390.4441648325636,10.117493093326363,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_07
ring_cv_dev_20260912_0107,461.8189363396639,435.2575596649874,9.914631998660026,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0108,454.87237640189534,430.2505667298032,9.816025295476384,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_05
ring_cv_dev_20260912_0109,450.89341704495865,418.26565166258246,9.908927338666038,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_05
ring_cv_dev_20260912_0110,432.487183920049,397.4135834962217,10.100494159267344,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0111,437.3717444630911,384.53406510295054,10.038058469497209,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0112,462.669745543511,372.8486232466463,9.99944932553542,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0113,439.8360348754498,410.3363826929009,9.919038534559768,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0114,456.1421862884683,440.2262246581637,9.838511358376774,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_07
ring_cv_dev_20260912_0115,439.1061667331503,427.6097572792193,9.847652263042995,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_00
ring_cv_dev_20260912_0116,432.2622665019201,415.2098206935912,9.86052931965473,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_03
ring_cv_dev_20260912_0117,453.554830331638,408.222438258402,9.846702188175763,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_03
ring_cv_dev_20260912_0118,442.81434177150703,351.4329554208388,10.012724900321745,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0119,446.5134515023833,413.440592429717,10.007635560180152,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_07
ring_cv_dev_20260912_0120,460.2260569354121,447.8404774944605,9.90854611456622,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_03
ring_cv_dev_20260912_0121,436.36649355420656,431.5290213380804,10.042969385949082,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_06
ring_cv_dev_20260912_0122,436.9100113278587,405.0268749975646,10.083167987449412,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_07
ring_cv_dev_20260912_0123,466.4803890469492,354.56764767694204,10.025356998202769,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_00
ring_cv_dev_20260912_0124,436.8166651693094,367.7304795587973,9.99599768199425,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0125,452.1137841243222,390.8386297516234,10.178247182532802,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_01
ring_cv_dev_20260912_0126,468.7186939225823,395.6746914680368,10.199245207504248,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0127,433.284654116692,360.8771749243228,10.12794309637058,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0128,446.79763007261806,380.4043317000806,9.898504111250029,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0129,469.7408917923552,367.35428162451785,10.187078722012972,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_05
ring_cv_dev_20260912_0130,435.37887371990746,422.6097734340492,9.822880658683474,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_06
ring_cv_dev_20260912_0131,440.48727886782535,400.1833364649714,9.986467505631154,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_02
ring_cv_dev_20260912_0132,447.17590598930326,407.4208900349181,9.80033170017668,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0133,438.682070886717,436.6052864435081,9.85211061201247,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_07
ring_cv_dev_20260912_0134,444.323131858699,376.015682567351,9.85541473678741,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_00
ring_cv_dev_20260912_0135,468.8875952728056,391.1435983535873,9.935376724471418,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0136,434.33974682779854,355.5916983894287,9.814904813224636,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0137,462.50774760520665,368.3226032142889,10.033251166769515,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_07
ring_cv_dev_20260912_0138,442.90866513711,394.2360854544246,9.94697394252774,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_00
ring_cv_dev_20260912_0139,461.7470157277904,369.5936443249564,9.915876820840769,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0140,456.63874930872265,418.6259768111517,9.86294568372848,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_00
ring_cv_dev_20260912_0141,469.9481023728589,404.8068516332441,10.109639719847769,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_00
ring_cv_dev_20260912_0142,462.08563872302943,392.4180729764399,9.972785461619994,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0143,465.96167247292107,379.2327941885068,10.160625629119943,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0144,454.06908664464265,440.48502864834177,10.112621715290942,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_01
ring_cv_dev_20260912_0145,448.35058810536896,363.50544963063504,10.106567514467072,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0146,432.0938446506905,390.2583000823861,9.99220091392848,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_06
ring_cv_dev_20260912_0147,441.29335037437977,410.1815913596687,9.920242753897435,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_00
ring_cv_dev_20260912_0148,468.1186863657775,380.6916204189675,10.172596339528011,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_03
ring_cv_dev_20260912_0149,443.60041278825946,382.813834961348,9.843540021812313,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_03
ring_cv_dev_20260912_0150,464.0342829264,353.9690828479148,10.023768954916354,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_06
ring_cv_dev_20260912_0151,466.0271777188525,415.692002617966,10.017411116586343,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_00
ring_cv_dev_20260912_0152,449.2167081073978,446.54056164425134,10.088372542721746,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_07
ring_cv_dev_20260912_0153,452.3035194138072,398.5702121584163,10.159827477570706,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_00
ring_cv_dev_20260912_0154,461.3317982352521,413.2836003528676,9.95998324795507,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_01
ring_cv_dev_20260912_0155,468.6185844606721,386.7464522314387,10.075546387049515,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_00
ring_cv_dev_20260912_0156,433.5631243365302,359.51938765807495,10.14670560671429,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_02
ring_cv_dev_20260912_0157,459.2937246358493,428.4919062010577,10.121922451622115,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_03
ring_cv_dev_20260912_0158,445.6300998030579,441.18822319754827,10.115456030895018,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_02
ring_cv_dev_20260912_0159,439.4749349629028,433.8677079218809,10.136438640121868,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_03
ring_cv_dev_20260912_0160,469.1036347605469,370.0408792447701,9.858935773532076,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,internal_test,dev_wafer_05
ring_cv_dev_20260912_0161,460.79803931636167,405.7653969190256,9.955619410771398,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_02
ring_cv_dev_20260912_0162,463.9887841750143,429.7212335658638,10.104600724608002,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_04
ring_cv_dev_20260912_0163,444.70702632606685,444.9921598585394,9.86175073363408,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,train,dev_wafer_05
ring_cv_dev_20260912_0164,465.1219013001447,372.460456897504,10.181081563411054,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,calibration,dev_wafer_05
ring_cv_dev_20260912_0165,434.6946824025099,427.38977857315496,10.021839375559626,120.0,100.0,220.0,development,False,independent_latin_hypercube,20260912,validation,dev_wafer_01
