structure_id,split,seed,experiment
ring_cv_dev_20260912_0068,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0069,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0070,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0071,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0072,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0073,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0074,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0075,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0076,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0077,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0078,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0079,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0080,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0081,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0082,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0083,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0084,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0085,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0086,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0087,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0088,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0089,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0090,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0091,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0092,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0093,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0094,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0095,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0096,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0097,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0098,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0099,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0100,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0101,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0102,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0103,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0104,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0105,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0106,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0107,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0108,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0109,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0110,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0111,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0112,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0113,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0114,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0115,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0116,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0117,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0118,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0119,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0120,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0121,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0122,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0123,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0124,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0125,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0126,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0127,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0128,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0129,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0130,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0131,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0132,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0133,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0134,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0135,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0136,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0137,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0138,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0139,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0140,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0141,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0142,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0143,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0144,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0145,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0146,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0147,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0148,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0149,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0150,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0151,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0152,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0153,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0154,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0155,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0156,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0157,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0158,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0159,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0160,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0161,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0162,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0163,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0164,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0165,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0166,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0167,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0168,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0169,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0170,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0171,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0172,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0173,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0174,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0175,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0176,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0177,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0178,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0179,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0180,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0181,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0182,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0183,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0184,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0185,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0186,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0187,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0188,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0189,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0190,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0191,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0192,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0193,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0194,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0195,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0196,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0197,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0198,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0199,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0200,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0201,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0202,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0203,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0204,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0205,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0206,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0207,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0208,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0209,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0210,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0211,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0212,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0213,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0214,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0215,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0216,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0217,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0218,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0219,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0220,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0221,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0222,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0223,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0224,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0225,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0226,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0227,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0228,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0229,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0230,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0231,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0232,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0233,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0234,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0235,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0236,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0237,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0238,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0239,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0240,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0241,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0242,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0243,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0244,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0245,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0246,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0247,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0248,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0249,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0250,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0251,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0252,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0253,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0254,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0255,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0256,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0257,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0258,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0259,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0260,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0261,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0262,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0263,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0264,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0265,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0266,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0267,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0268,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0269,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0270,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0271,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0272,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0273,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0274,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0275,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0276,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0277,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0278,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0279,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0280,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0281,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0282,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0283,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0284,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0285,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0286,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0287,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0288,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0289,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0290,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0291,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0292,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0293,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0294,calibration,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0295,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0296,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0297,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0298,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0299,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0300,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0301,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0302,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0303,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0304,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0305,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0306,test,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0307,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0308,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0309,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0310,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0311,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0312,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0313,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0314,validation,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0315,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0316,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0317,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0318,train,42,ring_direct_device_metrics_v1
ring_cv_dev_20260912_0319,test,42,ring_direct_device_metrics_v1
